headline,Link
"Nobel Prize in Physics Awarded to John Clarke, Michel Devoret and John Martinis",https://www.nobelprize.org/prizes/physics/2025/popular-information/
nobelprize.org,from?site=nobelprize.org
The least amount of CSS for a decent looking site (2023),https://thecascade.dev/article/least-amount-of-css/
thecascade.dev,from?site=thecascade.dev
Learning a foreign language–before you're born,https://nouvelles.umontreal.ca/en/article/2025/10/03/learning-a-foreign-language-before-you-re-born
umontreal.ca,from?site=umontreal.ca
Why did Crunchyroll's subtitles just get worse?,https://animebythenumbers.substack.com/p/worse-crunchyroll-subtitles
animebythenumbers.substack.com,from?site=animebythenumbers.substack.com
Apps SDK,https://developers.openai.com/apps-sdk/
developers.openai.com,from?site=developers.openai.com
"Who owns Express VPN, Nord, Surfshark? VPN relationships explained (2024)",https://windscribe.com/blog/the-vpn-relationship-map/
windscribe.com,from?site=windscribe.com
Pdoc – Generate API documentation for Python projects,https://pdoc.dev/
pdoc.dev,from?site=pdoc.dev
Deloitte to refund the Australian government after using AI in $440k report,https://www.theguardian.com/australia-news/2025/oct/06/deloitte-to-pay-money-back-to-albanese-government-after-using-ai-in-440000-report
theguardian.com,from?site=theguardian.com
Removing these 50 objects from orbit would cut danger from space junk in half,https://arstechnica.com/space/2025/10/everyone-but-china-has-pretty-much-stopped-littering-in-low-earth-orbit/
arstechnica.com,from?site=arstechnica.com
Kirigami-inspired parachute falls on target,https://physicsworld.com/a/kirigami-inspired-parachute-falls-on-target/
physicsworld.com,from?site=physicsworld.com
"Buckle Up, the Smart Glasses Backlash Is Coming",https://gizmodo.com/buckle-up-the-smart-glasses-backlash-is-coming-2000668213
gizmodo.com,from?site=gizmodo.com
OpenZL: An open source format-aware compression framework,https://engineering.fb.com/2025/10/06/developer-tools/openzl-open-source-format-aware-compression-framework/
fb.com,from?site=fb.com
Using Deno as my game engine,https://explodi.tubatuba.net/2025/09/26/using-deno-as-my-game-engine
tubatuba.net,from?site=tubatuba.net
Compiling a Forth,https://healeycodes.com/compiling-a-forth
healeycodes.com,from?site=healeycodes.com
No_color: Disabling ANSI color output by default,https://no-color.org/
no-color.org,from?site=no-color.org
Microformats – building blocks for data-rich web pages,https://microformats.org
microformats.org,from?site=microformats.org
Indefinite Backpack Travel,https://jeremymaluf.com/onebag/
jeremymaluf.com,from?site=jeremymaluf.com
"California law forces Netflix, Hulu to turn down ad volumes",https://www.politico.com/news/2025/10/06/dial-it-down-california-forces-netflix-hulu-to-lower-ad-volume-00595663
politico.com,from?site=politico.com
Origami Patterns Solve a Major Physics Riddle,https://www.quantamagazine.org/origami-patterns-solve-a-major-physics-riddle-20251006/
quantamagazine.org,from?site=quantamagazine.org
CodeMender: an AI agent for code security,https://deepmind.google/discover/blog/introducing-codemender-an-ai-agent-for-code-security/
deepmind.google,from?site=deepmind.google
Mise: Monorepo Tasks,https://github.com/jdx/mise/discussions/6564
github.com/jdx,from?site=github.com/jdx
Microsoft is plugging more holes that let you use Windows 11 without MS account,https://www.theverge.com/news/793579/microsoft-windows-11-local-account-bypass-workaround-changes
theverge.com,from?site=theverge.com
Show HN: Kent Dybvig's Scheme Machine in 400 Lines of C (Heap-Memory Model),https://gist.github.com/swatson555/8cc36d8d022d7e5cc44a5edb2c4f7d0b
gist.github.com,from?site=gist.github.com
Ladybird passes the Apple 90% threshold on web-platform-tests,https://twitter.com/awesomekling/status/1974781722953953601
twitter.com/awesomekling,from?site=twitter.com/awesomekling
OpenAI ChatKit,https://github.com/openai/chatkit-js
github.com/openai,from?site=github.com/openai
"Translating Cython to Mojo, a first attempt",https://fnands.com/blog/2025/sklearn-mojo-dbscan-inner/
fnands.com,from?site=fnands.com
Radioactive Pottery and Glassware (2010),https://carlwillis.wordpress.com/2010/01/12/nuclear-collection-part-iv/
carlwillis.wordpress.com,from?site=carlwillis.wordpress.com
"It's just a virus, the E.R. told him – days later, he was dead",https://www.nytimes.com/2025/10/05/well/sam-terblanche-virus-death-columbia.html
nytimes.com,from?site=nytimes.com
How to tile matrix multiplication (2023),https://alvinwan.com/how-to-tile-matrix-multiplication/
alvinwan.com,from?site=alvinwan.com
RediShell: Critical remote code execution vulnerability in Redis,https://www.wiz.io/blog/wiz-research-redis-rce-cve-2025-49844
wiz.io,from?site=wiz.io
